Year,Country,Industry,AI_Startups,Job_Postings,Skill,Avg_Salary_USD,Tool,Popularity_Score,Investment_Million_USD,Growth_Rate_%
2021,UK,Automotive,316,14352,Cloud Computing,135139,TensorFlow,84,339.1,8.81
2022,Germany,Education,180,2248,Python,136487,TensorFlow,60,500.4,12.94
2022,Mexico,Retail,279,2389,Machine Learning,123922,ChatGPT,63,59,17.53
2023,Russia,IT,76,13338,Cloud Computing,94005,ChatGPT,93,770.8,22.92
2022,Australia,Automotive,242,5023,Data Science,144596,Claude,59,338.4,27.79
2023,Russia,Healthcare,63,18347,AI Tools,130204,ChatGPT,75,970,17.22
2023,Indonesia,Healthcare,487,1957,Python,81324,Claude,93,109.8,27.78
2020,China,IT,105,18787,Machine Learning,65693,TensorFlow,80,197.3,29.19
2020,Turkey,IT,376,19567,AI Tools,92756,Copilot,72,166.8,6.85
2021,Turkey,Education,264,4565,Python,119119,ChatGPT,51,984.8,9.07
2023,Indonesia,Automotive,385,1777,Machine Learning,80993,Copilot,77,164,23.41
2022,South Korea,Manufacturing,60,17495,Python,89502,Copilot,81,382.9,22.86
2024,Spain,Retail,171,14792,Data Science,86863,ChatGPT,72,130.8,7.4
2025,Spain,Healthcare,351,14561,Machine Learning,64878,PyTorch,88,967.6,17.84
2022,Spain,Healthcare,118,11046,Data Science,89115,TensorFlow,65,531.6,20.75
2020,Australia,Automotive,313,8815,Python,123765,Copilot,75,547.9,14.99
2024,South Korea,Manufacturing,61,6106,NLP,105378,ChatGPT,61,225.5,19.33
2022,Switzerland,Telecom,266,18653,AI Tools,127533,Claude,66,937.8,7.44
2023,Japan,Healthcare,325,10501,Machine Learning,126627,ChatGPT,50,798.5,27.48
2020,Brazil,Telecom,302,11501,AI Tools,143056,PyTorch,85,580.2,25.64
2025,China,IT,184,1628,AI Tools,104432,PyTorch,63,270.3,18.8
2025,South Africa,Manufacturing,301,13266,Machine Learning,69376,Bard,70,858.1,21.99
2022,Singapore,Education,301,18596,Python,131260,Bard,92,807.7,6.89
2020,China,Manufacturing,394,17748,AI Tools,90294,Gemini,75,373.8,29.24
2023,Turkey,Telecom,250,5679,AI Tools,80272,Bard,61,129.6,16.38
2020,South Korea,Retail,330,12894,Cloud Computing,143000,Copilot,92,620.7,18.27
2020,Spain,Retail,337,15969,Python,67792,Claude,62,322.3,9.74
2020,USA,Retail,433,10878,Cloud Computing,77054,TensorFlow,92,186.7,27.22
2025,Brazil,Education,296,1134,AI Tools,89133,PyTorch,67,901.8,19.59
2025,USA,Healthcare,383,7358,Data Science,144710,PyTorch,97,850.3,7.15
2023,Japan,Healthcare,182,8910,Python,119318,TensorFlow,100,760.9,23.58
2024,Turkey,Retail,83,12613,Python,123793,Copilot,58,691.9,13.26
2022,South Africa,Healthcare,424,7569,AI Tools,127767,ChatGPT,92,961.6,14.84
2022,Mexico,Automotive,188,15090,Python,128523,ChatGPT,73,58.5,6.21
2022,Netherlands,Manufacturing,388,10607,AI Tools,131853,Claude,59,499.8,29.73
2022,Denmark,Manufacturing,219,6106,AI Tools,101785,Gemini,92,639.7,13.87
2020,Denmark,Automotive,370,16507,AI Tools,65952,Gemini,55,691.9,21.79
2020,Israel,Telecom,155,6881,Data Science,144432,Bard,76,471.4,17.03
2021,India,Telecom,148,4877,NLP,142852,Gemini,70,828,19.78
2025,Canada,IT,105,16081,Python,135620,ChatGPT,75,555.5,12.67
2024,UAE,Retail,243,13256,AI Tools,132992,PyTorch,74,978.3,12.76
2023,Japan,Automotive,417,2948,Cloud Computing,95613,Claude,100,773.3,27.27
2025,France,Automotive,51,8750,Data Science,143499,Copilot,100,992.3,8.57
2023,Australia,Automotive,124,11928,Cloud Computing,118407,Claude,93,423,29.98
2023,Finland,Automotive,103,9115,AI Tools,126324,Copilot,67,500.1,18.25
2021,Netherlands,Healthcare,415,13927,Data Science,93781,ChatGPT,69,94.5,19.83
2024,Germany,Manufacturing,201,14590,Cloud Computing,105692,PyTorch,90,816.4,8.14
2021,Russia,Manufacturing,216,8967,NLP,62935,Copilot,51,404,25.97
2023,Singapore,Telecom,167,8133,Machine Learning,139750,Bard,82,136.7,11.44
2020,Denmark,Telecom,357,12484,Cloud Computing,77105,Gemini,93,440.5,10.34
2024,Australia,IT,339,12366,NLP,111181,Bard,63,142.2,6.06
2023,Italy,Finance,239,7254,AI Tools,74069,PyTorch,54,378.5,26.81
2023,South Africa,Telecom,488,2802,NLP,125419,TensorFlow,72,438.7,13.16
2024,Netherlands,Finance,85,12922,Python,67605,Bard,96,185.1,20.75
2022,India,Telecom,377,11880,Python,116873,ChatGPT,64,977.3,9.57
2020,Turkey,Telecom,273,7337,Machine Learning,86610,Bard,82,555.7,21.4
2022,Spain,Retail,166,7558,Python,122583,Claude,86,60.4,12.67
2024,USA,Education,364,6012,NLP,125355,Claude,83,482.3,13.36
2025,Spain,Education,427,2317,Python,104093,Bard,63,103.7,8.34
2021,Turkey,Retail,330,12716,Data Science,77290,TensorFlow,76,260.2,11.51
2024,UAE,Manufacturing,251,3255,NLP,144050,ChatGPT,69,499.5,20.01
2021,Sweden,Finance,441,13831,Cloud Computing,115015,TensorFlow,53,232.9,13.21
2020,Indonesia,Manufacturing,83,4493,NLP,143119,TensorFlow,53,692.2,12.33
2025,USA,Manufacturing,427,10639,Cloud Computing,90864,Copilot,63,774.7,29.16
2020,UK,Healthcare,96,12282,Cloud Computing,66211,Bard,92,261.8,6.6
2025,China,Retail,346,17996,Machine Learning,137215,Gemini,78,642.3,10.74
2020,Australia,Manufacturing,212,16043,NLP,124923,ChatGPT,73,323.9,27.86
2025,India,Retail,77,1655,Machine Learning,117984,Copilot,75,292.9,28.95
2021,Indonesia,Telecom,63,18038,Cloud Computing,142853,TensorFlow,72,200.4,5.62
2023,Mexico,Finance,252,13069,Cloud Computing,96937,TensorFlow,52,524.9,12.47
2020,Sweden,IT,318,3666,AI Tools,75812,Claude,91,881.6,15.71
2023,South Africa,Finance,453,14453,Data Science,89731,PyTorch,100,839,24.1
2020,China,IT,383,13570,Python,145722,Claude,80,476.7,20.31
2020,Italy,Education,372,3208,AI Tools,148742,Gemini,65,942.7,5.56
2021,Russia,Healthcare,458,4640,Data Science,119867,Bard,79,117.6,20.33
2022,India,Education,74,9267,AI Tools,61964,Copilot,61,961,25.29
2021,Switzerland,Manufacturing,153,5945,Cloud Computing,102190,TensorFlow,54,791,7.85
2024,Mexico,Healthcare,90,2948,Cloud Computing,104626,PyTorch,84,425,7.47
2025,South Africa,Healthcare,150,5325,Cloud Computing,114329,TensorFlow,78,66,6.34
2024,Australia,Finance,186,13631,Data Science,83610,TensorFlow,72,418.3,26.89
2024,South Africa,IT,480,13915,NLP,82920,Copilot,80,472,9.3
2022,France,Automotive,265,16923,Python,121742,TensorFlow,66,744.8,9.67
2023,Sweden,Education,207,13472,Cloud Computing,99439,Copilot,63,148.8,9.43
2020,Turkey,Healthcare,105,5810,Cloud Computing,146199,Claude,78,261.5,14.52
2020,Finland,Manufacturing,412,15629,Cloud Computing,110280,TensorFlow,86,627.3,10.56
